1,40,0.6,22,0.4,,
2,35,0.6,17,0.4,,
3,30,0.6,12,0.4,,
4,25,0.6,7,0.4,,
5,20,0.6,2,0.4,,
6,18,0.4,14,0.6,,
7,19.5,0.4,13,0.6,,
8,21,0.4,12,0.6,,
9,24,0.4,10,0.6,,
10,30,0.4,6,0.6,,
11,24,0.05,20,0.93,0,0.02
12,24,0.05,20,0.9,0,0.05
13,24,0.05,20,0.6,0,0.35
14,24,0.05,20,0.3,0,0.65
15,24,0.05,20,0,0,0.95
16,20,1,0,0,,
17,20,0.97,0,0.03,,
18,20,0.67,0,0.33,,
19,20,0.37,0,0.63,,
20,20,0.07,0,0.93,,
21,22.5,1,0,0,,
22,22.5,0.99,0,0.01,,
23,22.5,0.95,0,0.05,,
24,22.5,0.75,0,0.25,,
25,22.5,0.25,0,0.75,,
26,22.5,0.05,0,0.95,,
27,30,0.8,0,0.2,,
28,30,0.76,0,0.24,,
29,30,0.6,0,0.4,,
30,30,0.2,0,0.8,,
31,30,0.04,0,0.96,,
32,20,0,10,1,0,0
33,20,0.08,10,0.9,0,0.02
34,20,0.2,10,0.75,0,0.05
35,20,0.6,10,0.25,0,0.15
36,20,0.8,10,0,0,0.2
37,40,0.6,22,0.4,,
38,35,0.6,17,0.4,,
39,30,0.6,12,0.4,,
40,25,0.6,7,0.4,,
41,20,0.6,2,0.4,,
42,18,0.4,14,0.6,,
43,19.5,0.4,13,0.6,,
44,21,0.4,12,0.6,,
45,24,0.4,10,0.6,,
46,30,0.4,6,0.6,,
47,24,0.05,20,0.93,0,0.02
48,24,0.05,20,0.9,0,0.05
49,24,0.05,20,0.6,0,0.35
50,24,0.05,20,0.3,0,0.65
51,24,0.05,20,0,0,0.95
52,20,1,0,0,,
53,20,0.97,0,0.03,,
54,20,0.67,0,0.33,,
55,20,0.37,0,0.63,,
56,20,0.07,0,0.93,,
57,22.5,1,0,0,,
58,22.5,0.99,0,0.01,,
59,22.5,0.95,0,0.05,,
60,22.5,0.75,0,0.25,,
61,22.5,0.25,0,0.75,,
62,22.5,0.05,0,0.95,,
63,30,0.8,0,0.2,,
64,30,0.76,0,0.24,,
65,30,0.6,0,0.4,,
66,30,0.2,0,0.8,,
67,30,0.04,0,0.96,,
68,20,0,10,1,0,0
69,20,0.08,10,0.9,0,0.02
70,20,0.2,10,0.75,0,0.05
71,20,0.6,10,0.25,0,0.15
72,20,0.8,10,0,0,0.2
